ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,res
2017-01-01 00:00:00,0.25,-108.30280939304585,17.99077768122411,-8.15701593906682,4.353935340337475,-10.313277745735533,13.076399881503578,-15.693241282714702,13.030040202507134,-100.72196292441349,194.9871541794041,2.842170943040401e-14
2017-01-01 03:00:00,239.5,4.6345962261881235,144.80368668115085,-8.24170771406061,4.218408627533859,-10.865464002824494,13.37917417857925,-15.733865423360973,13.048247791193186,-100.72966141826605,194.98658505386683,2.842170943040401e-14
2017-01-01 06:00:00,396.5,107.34295222118966,198.96961551002846,-7.690497906977863,4.057767120526654,-11.365579711260251,13.647723075098078,-15.775711440998517,13.064511896740148,-100.73679281050474,194.98601204615838,-5.684341886080802e-14
2017-01-01 09:00:00,125.75,-105.51053781366852,140.245966967417,-6.422754407437979,3.865804486086512,-11.811153038708326,13.880676749091021,-15.81890136317453,13.078819734827766,-100.74335646870183,194.9854351542689,-1.4210854715202004e-14
2017-01-01 12:00:00,0.0,-97.64915957277299,5.239116698347049,-4.564907555297296,3.6348184484060004,-12.199637316729904,14.076665378588682,-15.863557217436112,13.091158521135434,-100.74935176042978,194.9848543761889,2.842170943040401e-14
2017-01-01 15:00:00,0.0,40.80238220104472,-134.99101971452856,-2.2959574762446007,3.3574968577485484,-12.528427106302194,14.234319141622125,-15.90980103133062,13.101515471342875,-100.75477805326086,194.98426970990857,0.0
2017-01-01 18:00:00,0.0,102.30867860946458,-198.47382253306802,0.20509570403072783,3.02660209569351,-12.794991499717954,14.35226821622194,-15.957754832405135,13.109877801129576,-100.75963471476751,194.98368115341827,0.0
2017-01-01 21:00:00,0.0,40.43951729274521,-138.57217842423756,2.7375617263686487,2.635134654841699,-12.997037700291644,14.429142780419204,-16.00754064820693,13.11623272617522,-100.76392111252254,194.98308870470873,-5.684341886080802e-14
2017-01-02 00:00:00,0.25,-99.82567642666314,0.2781487966885417,5.013989797725157,2.176152659298382,-13.132330689805654,14.463548851678672,-16.059256198753264,13.120567527236618,-100.76763667917496,194.98249236176963,0.0
2017-01-02 03:00:00,240.5,3.120931427286876,136.5346767943102,6.725238991585642,1.6427142331680555,-13.198637771769684,14.453949368080343,-16.112853802949196,13.122869760921219,-100.77078112322546,194.98189212259197,0.0
2017-01-02 06:00:00,391.0,97.44677714235291,192.59532092151676,7.563173227778772,1.0268726542125948,-13.193754588604993,14.398618615113024,-16.168068788197026,13.123127097945718,-100.77335426728338,194.98128798516558,5.684341886080802e-14
2017-01-02 09:00:00,125.75,-96.02199374376393,121.84821066973566,7.313830467054732,0.3275837707902536,-13.115678317311279,14.295984241851494,-16.224588310906597,13.121327236749,-100.77535596168052,194.98067994748118,0.0
2017-01-02 12:00:00,0.0,-85.20244015421075,-12.72962645483192,6.124080224120334,-0.41272167662251397,-12.963041661100679,14.145109423582447,-16.282099527487315,13.117458124138103,-100.7767863051167,194.980068007529,-2.842170943040401e-14
2017-01-02 15:00:00,0.0,40.91907436988368,-136.1929349395216,4.227779010921364,-1.137523333269768,-12.735346273668386,13.945926286075895,-16.340289594348935,13.111507782442049,-100.77764547181366,194.97945216329933,2.842170943040401e-14
2017-01-02 18:00:00,0.0,90.81832889071697,-183.0586018749953,1.8579914248266383,-1.789508929818818,-12.432882616302233,13.69915576269463,-16.39884566790097,13.103464236695634,-100.7779336386991,194.97883241278254,2.842170943040401e-14
2017-01-02 21:00:00,0.0,35.08268740652154,-124.23193264271778,-0.7253845820272131,-2.3113661969367363,-12.05663540809506,13.406213044606172,-16.457454904553042,13.093315511933882,-100.77765098300007,194.9782087542683,0.0
2017-01-03 00:00:00,0.25,-87.73369837378569,1.5576462460904237,-3.1551176384323285,-2.6458057206197907,-11.608336521065233,13.069283331233063,-16.515804460714726,13.08104963319156,-100.77679768370659,194.97758118780934,-5.684341886080802e-14
2017-01-03 03:00:00,230.25,20.488553083150006,125.23864510100303,-5.037143018412496,-2.7357011751378515,-11.089806600805176,12.690803683844932,-16.57358149279553,13.066654625503583,-100.7753739223748,194.97694971602428,5.684341886080802e-14
2017-01-03 06:00:00,350.25,86.62738702451507,179.73101051776223,-5.977395995992173,-2.524271731372409,-10.502552035733864,12.273242403150125,-16.630473157205138,13.05011851390502,-100.77337988114807,194.97631434211922,0.0
2017-01-03 09:00:00,120.25,-86.47498633671684,121.88461736447229,-5.710084659922345,-1.9708725444202997,-9.847866001565977,11.819070137945262,-16.686166610353183,13.03142932343065,-100.77081574217611,194.97567506930653,2.842170943040401e-14
2017-01-03 12:00:00,0.0,-80.0918081031379,-7.008435222598332,-4.472798861929294,-1.108285932460438,-9.127005700557335,11.330757537027255,-16.740349008649222,13.010575079115453,-100.7676816876077,194.97503190079752,-2.842170943040401e-14
2017-01-03 15:00:00,0.0,43.61616468897182,-133.87433893534384,-2.5925632847337443,-0.024052620826848645,-8.341228334963455,10.810775249192517,-16.792707508502684,12.987543805994225,-100.76397789959229,194.9743848398043,2.842170943040401e-14
2017-01-03 18:00:00,0.0,93.19648938331676,-187.09759984564292,-0.3866931151234839,1.184577169213358,-7.4917911070402425,10.261593923238266,-16.84292926632338,12.962323529101942,-100.75970456027909,194.9737338895388,-2.842170943040401e-14
2017-01-03 21:00:00,0.0,34.98338835803635,-132.5966863798229,1.8247937801272744,2.4203532163933246,-6.579951219043056,9.685684207960831,-16.89070143852072,12.934902273473448,-100.75486185181735,194.9730790532128,0.0
