ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,res
2017-01-01 00:00:00,0.0019840002,-0.00030120088061045587,0.0007377149311475864,1.6005224793366047e-05,1.237744676318865e-06,0.00021392313606746142,-4.371398630270789e-05,9.843983247975432e-05,-0.004224091370947587,0.0005252605506789398,0.004960425018017325,-4.336808689942018e-19
2017-01-01 03:00:00,0.0019500013,-0.00028200860550377113,0.0007065282716034411,-1.4004359652105892e-06,1.9730750147409184e-06,0.0002091526331635705,-4.419500690319905e-05,9.877720401531676e-05,-0.004224350513709491,0.0005255561112397761,0.004959968567044826,-4.336808689942018e-19
2017-01-01 06:00:00,0.0014900006,-0.0006992499293252125,0.0006898070854543,-2.0595266973182438e-05,2.172383862157349e-06,0.0002026730352073632,-4.46297564365432e-05,9.906887366557105e-05,-0.004224610292425397,0.0005258526960006232,0.00495951177097032,-4.336808689942018e-19
2017-01-01 09:00:00,0.0013690013,-0.0007039070917278437,0.0006006974892241249,-3.8939613489260946e-05,2.1076032588328427e-06,0.0001944109535738717,-4.501697802963472e-05,9.931474442135471e-05,-0.004224870747629541,0.0005261503103575736,0.004959054630040522,2.168404344971009e-19
2017-01-01 12:00:00,0.0013929997,-0.0003248414420108993,0.00027114712741519326,-5.373422913583788e-05,1.961667626674449e-06,0.000184393087288027,-4.535541480937122e-05,9.951470553896327e-05,-0.0042251319061216335,0.0005264489597067208,0.004958597144502164,-1.0842021724855044e-18
2017-01-01 15:00:00,0.0018880013,0.0007301981732304705,-0.0002673791911299511,-6.289326853879952e-05,1.8473196548879012e-06,0.00017270926106660028,-4.56438099026447e-05,9.9668642445905e-05,-0.004225393790872585,0.0005267486494441542,0.004958139314601963,-4.336808689942018e-19
2017-01-01 18:00:00,7.699989e-05,-0.000643706299259755,-0.0006891083812163665,-6.443266318259373e-05,1.7987191922895133e-06,0.0001594788796337892,-4.588090643635087e-05,9.97764398989276e-05,-0.004225656424182555,0.0005270493849659673,0.004957681140586648,-2.574980159653073e-19
2017-01-01 21:00:00,0.0016569998,0.000525170677103233,-0.000269915908172215,-5.724896284248015e-05,1.727971743808854e-06,0.00014483952103076382,-4.606544780509411e-05,9.983797867173037e-05,-0.00422591982410093,0.0005273511716682396,0.004957222622702944,-4.336808689942018e-19
2017-01-02 00:00:00,0.0015060008,-0.0003615375592080713,0.00046934839805751855,-4.431072312303515e-05,1.6661616865848925e-06,0.0001289437929849382,-4.6196178108308514e-05,9.985313086631582e-05,-0.00422618399930059,0.0005276540149470728,0.004956763761197575,-4.336808689942018e-19
2017-01-02 03:00:00,0.0017540008,-0.0002593165192121782,0.0006179361963365712,-2.96142723810661e-05,1.6782948106984876e-06,0.0001119536552452984,-4.627183559038067e-05,9.982176346327329e-05,-0.0042264489591880335,0.0005279579201985593,0.004956304556317258,2.168404344971009e-19
2017-01-02 06:00:00,0.0018780008,0.00016189118566042545,0.0003257595077964264,-1.6292813586592393e-05,1.7626478027416579e-06,9.403449942176245e-05,-4.629114250074448e-05,9.974373691230744e-05,-0.004226714722633839,0.0005282628928187855,0.004955845008308727,0.0
2017-01-02 09:00:00,0.0013840012,-8.6839972995263e-05,8.751335796614254e-05,-4.141861100735842e-06,1.7782499423217091e-06,7.535258849927501e-05,-4.625283528769597e-05,9.961892935378237e-05,-0.004226981312000371,0.0005285689382038403,0.004955385117418705,-2.168404344971009e-19
2017-01-02 12:00:00,0.0014070012,4.498019655871296e-05,-1.3323975912420907e-05,7.942350829299794e-06,1.4790992171638549e-06,5.607976478498502e-05,-4.615568912162755e-05,9.944725807667499e-05,-0.004227248750076516,0.000528876061749819,0.004954924883893909,2.168404344971009e-19
2017-01-02 15:00:00,0.0012200009,-1.9144433103273783e-05,-0.0001282869974338125,2.108352821543926e-05,5.89775910434411e-07,3.639734803146289e-05,-4.599852533199167e-05,9.922868655947444e-05,-0.004227517059681609,0.0005291842688527987,0.004954464307981077,4.336808689942018e-19
2017-01-02 18:00:00,0.0011050012,4.000541580799385e-05,-0.00029562481540742813,3.625078464466493e-05,-1.021245570971274e-06,1.649735629249765e-05,-4.578020798839906e-05,9.89632210208194e-05,-0.004227786263634991,0.0005294935649088956,0.004954003389926918,4.336808689942018e-19
2017-01-02 21:00:00,0.0009630006,1.6171044096068903e-05,-0.0004091109616570024,5.401657741785297e-05,-3.092909116725859e-06,-3.424117795447749e-06,-4.5499663790659326e-05,9.865093030955663e-05,-0.0042280563847559875,0.0005298039553141801,0.004953542129978164,1.1926223897340549e-18
2017-01-03 00:00:00,0.00088199973,-0.00010898031198698166,-0.0003624458488213046,7.368527085095546e-05,-5.093966882905188e-06,-2.3170004978060326e-05,-4.515589148014799e-05,9.829195531609377e-05,-0.004228327445863941,0.0005301154454647525,0.004953080528381539,-1.0842021724855044e-19
2017-01-03 03:00:00,0.0012190007,3.5966371139634126e-06,-0.00013371876430827076,9.046512873347879e-05,-6.386366772475191e-06,-4.2541638261579166e-05,-4.474795959717496e-05,9.788650672977369e-05,-0.00422859946977818,0.0005304280407566972,0.004952618585383768,-2.168404344971009e-19
2017-01-03 06:00:00,0.001600001,0.00015969602103283343,0.00010222446902883307,9.853060784329833e-05,-6.3003196777679054e-06,-6.13352052847241e-05,-4.42749873581949e-05,9.743484591608454e-05,-0.004228872479318047,0.0005307417465861079,0.004952156301231576,0.0
