ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,res
2017-01-01 00:00:00,85882.0,74.1135443510656,-93.49830926079119,-10.418498518457316,-290.6355338272525,-139.7465407871629,193.77716308668718,211.14199888463835,428.4804167324414,85508.78575933885,-1.4551915228366852e-11
2017-01-01 03:00:00,85900.0,95.73292437444088,-94.51371949786012,-7.882658335298898,-295.1413111490302,-141.8846016038578,195.2774345503475,211.18063971561952,428.42192417721384,85508.80936776844,-1.4551915228366852e-11
2017-01-01 06:00:00,85744.0,-49.04029709310498,-117.26578608407485,12.376995940061857,-303.22332700388995,-143.74910773388262,196.49812005817932,211.2100713531504,428.3603819831583,85508.8329485804,0.0
2017-01-01 09:00:00,85788.0,-22.361432934220257,-123.88216002707767,48.36459387760252,-314.60865192800367,-145.32823525628714,197.43331977444606,211.23027280721956,428.29579190397925,85508.85650178234,0.0
2017-01-01 12:00:00,85844.0,-44.11547925405026,-77.37335310045289,94.59274195474481,-328.920289376595,-146.61016084782202,198.07713446121636,211.24122080134464,428.22815797933094,85508.88002738229,0.0
2017-01-01 15:00:00,85912.0,-93.82717230882112,7.496899555931248,144.96701016645372,-345.7812428048357,-147.58306684099696,198.4236705360399,211.2428916397649,428.15748466837175,85508.90352538807,0.0
2017-01-01 18:00:00,86212.0,91.80259622261913,93.23551175365382,193.29847497886738,-364.8145156682448,-148.23515767476448,198.4670622171461,211.23525590590438,428.0837764572553,85508.92699580757,-1.4551915228366852e-11
2017-01-01 21:00:00,86086.0,-87.10410944428706,127.53872648330616,233.3859277845356,-385.64311142185494,-148.55469774096076,198.20149135632266,211.218296501887,428.0070378324654,85508.9504386486,-1.4551915228366852e-11
2017-01-02 00:00:00,86100.0,-52.979215740072135,103.43067467259914,260.2542626851924,-407.8900335210116,-148.53012850088896,197.62118219295044,211.19213101212765,427.92727328006896,85508.97385391903,0.0
2017-01-02 03:00:00,86166.0,70.86142780021659,56.05494600855786,273.6962311283253,-431.1816784216162,-148.1503922460953,196.72082470262112,211.1569121106434,427.84448729068407,85508.99724162665,1.4551915228366852e-11
