ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,res
2017-01-01 00:00:00,2.3539963,0.3892466254534173,-0.2726350901419494,-0.5030015128187886,1.1423860674265667,-0.661463449659577,-0.21020997535619904,-1.4111451739036653,-0.20017070844211207,-0.40797238676656317,0.47459933953851396,4.014362564670356,4.440892098500626e-16
2017-01-01 03:00:00,3.0619965,1.3367789441669766,-0.49497950300637994,-0.5335358435961596,1.1701771534986347,-0.6659335289757071,-0.2142101817459722,-1.4181237286850321,-0.198196601803203,-0.4090540544368424,0.4747272881263437,4.014346556457341,0.0
2017-01-01 06:00:00,2.1779976,0.042546267402585033,0.04149114666069868,-0.6726103108861756,1.1884951092121938,-0.6608113457197475,-0.2204337521814068,-1.423643020152162,-0.19609195096631882,-0.41013015808881154,0.47485497724545384,4.014330637473691,4.440892098500626e-16
2017-01-01 09:00:00,1.0439987,-1.454124679568712,0.5124185571631958,-0.7933902225994488,1.1969341282345995,-0.6455442227530837,-0.22883432216617552,-1.4277015465941796,-0.19385553144855122,-0.4112006754751122,0.4749824074248373,4.014314807782631,-4.440892098500626e-16
2017-01-01 12:00:00,1.1259956,-1.046833257478494,0.1455952634388108,-0.7639241788244552,1.1947409202265102,-0.6196774558376877,-0.23925887277418106,-1.4303037622760026,-0.19148611876697572,-0.4122655843483999,0.47510957919350744,4.014299067447368,0.0
2017-01-01 15:00:00,3.4839973,1.7560094065774527,-0.5002868992648426,-0.5729560797821042,1.179848511072234,-0.5828426012193526,-0.2515334746324341,-1.431453807403658,-0.18898280249757068,-0.4133248624613156,0.47523649308045923,4.014283416531132,-4.440892098500626e-16
2017-01-01 18:00:00,0.05199814,-1.9208258596358414,-0.5894666689981929,-0.24515110880276939,1.1502020345507533,-0.535028081491858,-0.26548419836794,-1.4311543413659906,-0.1863461530334882,-0.4143784875665192,0.4753631496147081,4.014267855097138,-2.498001805406602e-16
2017-01-01 21:00:00,5.1519966,2.056328158347677,0.1266079318817016,0.16114258838878895,1.1041601363289202,-0.47663583113686303,-0.28093711460770093,-1.4294068111663594,-0.18357795315336767,-0.4154264374166521,0.4754895493252428,4.014252383208613,0.0
2017-01-02 00:00:00,2.963997,-1.0255536036818143,0.6497069781261113,0.5390568876353512,1.0404878525505064,-0.4084741751129369,-0.2977182939787191,-1.426212439226472,-0.1806802102175046,-0.4164686897643615,0.47561569274107235,4.014237000928767,0.0
2017-01-02 03:00:00,2.0639954,-2.17668619859536,0.6854754032365354,0.7710305346906985,0.9583979901109271,-0.3317992091303004,-0.3156538071080022,-1.4215724479680334,-0.17765493158619242,-0.41750522236230464,0.4757415803912034,4.014221708320829,0.0
2017-01-02 06:00:00,3.645996,-0.14491906333634436,0.2628274283380171,0.7716389814223118,0.8574368953004151,-0.24796403795889566,-0.33456972462255347,-1.4154880598127446,-0.17450412461972817,-0.4185360129631256,0.4758672128046371,4.01420650544801,4.440892098500626e-16
2017-01-02 09:00:00,5.1039963,2.0883034541414567,-0.2852274602292663,0.583697756907946,0.7384037829941831,-0.15832176636866038,-0.354292117149378,-1.4079604971823125,-0.1712297966784037,-0.41956103931947375,0.47599259051037696,4.014191392373533,-8.881784197001252e-16
2017-01-02 12:00:00,3.463997,1.1623380423095744,-0.6468508489992456,0.2809321073606912,0.6035613873809081,-0.06422549912953737,-0.3746470553154745,-1.3989909824984479,-0.16783395512251714,-0.42058027918399676,0.4761177140374257,4.014176369160619,4.440892098500626e-16
2017-01-02 15:00:00,2.619999,0.8667609581594581,-0.7924236930257835,-0.06323946825094139,0.4554791898938604,0.032971658988540584,-0.39546060974785824,-1.3885807381828443,-0.16431860731235667,-0.4215937103093477,0.47624258391478574,4.014161435872487,0.0
2017-01-02 18:00:00,1.6619987,0.2753826901689658,-0.7794230101455217,-0.37654113966207275,0.29672667196631797,0.13191660321563017,-0.4165588510735258,-1.3767309866572128,-0.16068576060822873,-0.42260131044817384,0.4763672006714636,4.0141465925723585,-2.220446049250313e-16
2017-01-02 21:00:00,1.1679955,-0.058883950771259366,-0.6446374475686258,-0.5984847696470907,0.129873315031557,0.23125622878179233,-0.4377678499194827,-1.3634429503432652,-0.15693742237041264,-0.42360305735312126,0.47649156483645944,4.014131839323449,0.0
2017-01-03 00:00:00,0.6019974,-0.6920456592803437,-0.39426075806394234,-0.7042490099119252,-0.04251139947714793,0.32963743091708897,-0.4589136769127374,-1.348717851662694,-0.15307559995921383,-0.4245989287768441,0.4766156769387793,4.0141171761889805,-9.992007221626409e-16
2017-01-03 03:00:00,0.45199585,-1.1558965689908387,-0.004874597846501453,-0.6991926006949118,-0.21751910913451117,0.4257071048515778,-0.479822402680287,-1.3325569130372137,-0.14910230073492206,-0.42558890247199105,0.4767395375074287,4.01410260323217,1.1102230246251565e-16
2017-01-03 06:00:00,3.1379967,1.0022061548270509,0.5001728558352428,-0.5959169369056977,-0.3906548441728585,0.5181121458153248,-0.5003162009159305,-1.314965253821739,-0.145019532057837,-0.42657295619120267,0.476863147071402,4.014088120516244,4.440892098500626e-16
2017-01-03 09:00:00,3.3759956,0.7433484257330317,0.8850801469029128,-0.4082866279432454,-0.556160420335187,0.6054994490383879,-0.5202016575805971,-1.2959635811040486,-0.14082930128824367,-0.42755106768714024,0.47698650615971205,4.014073728104417,-4.440892098500626e-16
