ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,res
2017-01-01 00:00:00,264.02,-2.902771614381357,-1.3983020982144392,-0.49193951956684445,0.698211711281883,6.532536626256606,-0.2185905444606199,-17.789066354397008,279.5899217934818,0.0
2017-01-01 03:00:00,267.93,-0.3212253668274126,0.3611199605385661,-0.9589075806401178,0.7357172383453688,6.530420210626435,-0.21844777439234542,-17.789065415802966,279.5903887281525,0.0
2017-01-01 06:00:00,272.99,3.33107922459077,2.027428448611308,-1.2080760083315323,0.7361516977809598,6.519729867512383,-0.21823615910145672,-17.788932943702495,279.59085587264,5.684341886080802e-14
2017-01-01 09:00:00,272.07,1.4369674067511375,3.0056557115417974,-1.155641892982947,0.6976445466447304,6.500675361369925,-0.21795548783997104,-17.78866887211137,279.59132322662674,-5.684341886080802e-14
2017-01-01 12:00:00,266.99,-3.546131989094047,2.6166669761750057,-0.7631997802707474,0.6231506125442257,6.47360209316448,-0.21760555636863188,-17.78827314594283,279.5917907897926,0.0
2017-01-01 15:00:00,267.55,-1.4905341093843856,0.652817309778174,-0.15795923613972024,0.5194823361993476,6.438867008287135,-0.21718614060291308,-17.78774572995559,279.59225856181797,0.0
2017-01-01 18:00:00,271.19,4.0548686401245995,-1.7365244953849412,0.4917326650840327,0.3941532010309785,6.396827052129169,-0.21669699195931202,-17.78708661340796,279.59272654238345,0.0
2017-01-01 21:00:00,263.62,-2.441045877743323,-3.149759915628919,1.017528849073427,0.25467669045842894,6.347839170083093,-0.2161378601810269,-17.78629578723084,279.59319473116915,0.0
2017-01-02 00:00:00,261.96,-4.439973301993201,-2.8781253062269303,1.2844906222886219,0.10856628790371078,6.292260307538714,-0.21550849561225863,-17.785373241754105,279.59366312785545,0.0
2017-01-02 03:00:00,264.49,-3.7657442826081833,-0.8243555346197032,1.2917899203245513,-0.03714162920266454,6.230447409889232,-0.21480863794702942,-17.784318977958996,279.5941317321228,0.0
2017-01-02 06:00:00,273.99,3.4761307211187766,1.857085960274047,1.0740957190651952,-0.1774993429296302,6.162757422524108,-0.21403801916833526,-17.783133004535326,279.59460054365115,0.0
2017-01-02 09:00:00,275.94,4.368203181323672,3.5236738081069077,0.6672750425779065,-0.3087571835313595,6.089547290836641,-0.21319637940367472,-17.78181532203154,279.59506956212147,0.0
2017-01-02 12:00:00,267.52,-2.5940897370806644,2.8084797284037553,0.11889236782892017,-0.42734571680877853,6.011173960217078,-0.21228346727341166,-17.780365922500874,279.59553878721397,0.0
2017-01-02 15:00:00,263.3,-3.430973704938335,0.20416940704160821,-0.4774189588103541,-0.5296955085636484,5.927994376057488,-0.21129904082462045,-17.778784788570675,279.5960082186085,5.684341886080802e-14
2017-01-02 18:00:00,260.94998,-2.165762966138799,-2.7050401144086154,-1.0165083736175076,-0.6122371245974354,5.840365483749104,-0.210242882412644,-17.77707187856003,279.59647785598594,0.0
2017-01-02 21:00:00,259.93,-1.4183955011447038,-3.9482280578029023,-1.3932253128697387,-0.671401130711606,5.748644228683208,-0.20911481145397143,-17.775227113726288,279.59694769902603,0.0
2017-01-03 00:00:00,258.46,-4.361827657825766,-2.212347056032436,-1.531647434401839,-0.7036180927079703,5.653187556251277,-0.20791467885391113,-17.77325038383896,279.59741774740957,0.0
2017-01-03 03:00:00,267.04,0.794518648862128,1.2491087113247825,-1.4718705897352156,-0.7062117611021462,5.554350904018425,-0.20664237544916358,-17.771141538735677,279.5978880008169,0.0
2017-01-03 06:00:00,273.71,4.543015475703692,4.050059314508266,-1.2793005733915295,-0.6804207615223844,5.452486306104418,-0.20529782924547807,-17.76890039108511,279.5983584589281,0.0
2017-01-03 09:00:00,273.97998,4.423524756281878,4.2269149469586385,-1.0170904537715215,-0.6297464965762488,5.347955847487665,-0.2038810075786986,-17.76652671422551,279.5988291214238,0.0
2017-01-03 12:00:00,267.3,-0.5059502337266607,2.226649014043235,-0.7366783449025426,-0.5580366941025198,5.241128429984479,-0.20239190481574468,-17.76402025446413,279.5992999879839,0.0
2017-01-03 15:00:00,263.58,-1.5414332607122805,-0.7353598207216466,-0.444000576892301,-0.46914012918653725,5.132374002655967,-0.20083053029055137,-17.761380743141856,279.5997710582892,0.0
2017-01-03 18:00:00,261.16998,-1.6679064876766545,-3.3260899431883004,-0.13361803387033805,-0.366909810686249,5.022066748337614,-0.19919689487809006,-17.758607910058046,279.60024233202006,0.0
2017-01-03 21:00:00,260.59,-1.6892304679379955,-4.223581348892331,0.19990840003508173,-0.2552219277102512,4.9106040301139755,-0.1974910146760688,-17.755701479788886,279.6007138088564,0.0
2017-01-04 00:00:00,258.87,-5.336220841486619,-2.6632015426423874,0.5561804366400461,-0.13798515068750902,4.798415692391308,-0.19571291601657886,-17.752661166677047,279.60118548847873,5.684341886080802e-14
2017-01-04 03:00:00,270.12,2.805662304251715,0.07775603440716748,0.9114501715418827,-0.019127616874767165,4.685951046402663,-0.19386263772900214,-17.749486672567134,279.60165737056747,0.0
2017-01-04 06:00:00,276.58,6.392565091710959,2.6162091352973498,1.236132296283057,0.09742011676270902,4.573661823090153,-0.19194023608623864,-17.746177681861024,279.60212945480305,-5.684341886080802e-14
2017-01-04 09:00:00,276.59,4.84714117008703,3.9025679863072487,1.500641502405887,0.20774634441165263,4.461980902243498,-0.18994577120275322,-17.742733875118326,279.6026017408658,-5.684341886080802e-14
2017-01-04 12:00:00,269.1,-2.7257750718437457,3.8129332191204197,1.6775213364680164,0.3080262636458662,4.351254260265694,-0.18787930316806103,-17.739154932923814,279.6030742284357,0.0
